x,y
0,0
0.024486542,0.004396057
0.036879731,0.00602417
0.049197388,0.008149719
0.061418916,0.010775757
0.073516847,0.013920594
0.085532381,0.017367554
0.097492982,0.02099762
0.109405519,0.024786377
0.121265413,0.028735352
0.133082583,0.032809449
0.144853976,0.037013245
0.156596377,0.041300965
0.16827698,0.045751954
0.179924777,0.050288392
0.191538241,0.054911805
0.203127292,0.059596253
0.21469498,0.064332582
0.226284793,0.069015504
0.237926487,0.073568727
0.249636082,0.077941896
0.261426548,0.082092286
0.273303227,0.085990907
0.285269169,0.08960724
0.297247319,0.093179323
0.309220891,0.096771242
0.321185308,0.100390627
0.333141332,0.104035951
0.345086675,0.107719423
0.3570221,0.111433412
0.368944555,0.1151886
0.380865484,0.118949892
0.39278031,0.122727968
0.404691321,0.126519777
0.416595465,0.130332949
0.428494269,0.134164431
0.440345008,0.138139345
0.452143104,0.1422699
0.463916786,0.146469118
0.475674446,0.150712588
0.48742295,0.154981997
0.499167641,0.159260562
0.51091462,0.163533023
0.522686012,0.167738345
0.534510048,0.171794131
0.546395119,0.175665286
0.558349618,0.17931824
0.570374307,0.182731631
0.582470712,0.185884097
0.594633493,0.188768008
0.606814584,0.1915741
0.618939218,0.194612125
0.630987558,0.197943118
0.642926798,0.201644901
0.654717264,0.205796817
0.666303263,0.210488895
0.677640544,0.215753177
0.689054881,0.220849613
0.700523387,0.225820926
0.711981975,0.230815128
0.723449718,0.235789493
0.734943401,0.240704349
0.746498882,0.245469669
0.758142101,0.250018314
0.769881451,0.254312138
0.781728375,0.258300785
0.793676007,0.261975102
0.805724347,0.265304569
0.822559369,0.267509465
0.834400952,0.271511845
0.846112836,0.275881962
0.857733167,0.280485539
0.869257368,0.285328679
0.880724348,0.29030457
0.905724348,0.31530457
0.930724349,0.340304571
0.955724349,0.365304571
0.980724349,0.390304571
0.980724349,0.415304572
1.00572435,0.440304572
1.00572435,0.465304572
1.00572435,0.490304573
1.03072435,0.515304573
1.042710129,0.528225716
1.041722885,0.540686043
1.040354172,0.553111275
1.038758866,0.565509042
1.037264267,0.577919015
1.035929886,0.590347299
